Date,District,Rain
2010-01-01,Alangayam,-
2010-01-01,Ambur,-
2010-01-01,Arakkonam,-
2010-01-01,Arcot,-
2010-01-01,Gudiyatham,-
2010-01-01,Melalathur,-
2010-01-01,Sholingur,-
2010-01-01,Tirupattur,-
2010-01-01,Vaniyambadi,-
2010-01-01,Vellore,-
2010-01-01,Wallajah,-
2010-01-02,Alangayam,-
2010-01-02,Ambur,-
2010-01-02,Arakkonam,-
2010-01-02,Arcot,-
2010-01-02,Gudiyatham,-
2010-01-02,Melalathur,-
2010-01-02,Sholingur,-
2010-01-02,Tirupattur,-
2010-01-02,Vaniyambadi,-
2010-01-02,Vellore,-
2010-01-02,Wallajah,-
2010-01-03,Alangayam,-
2010-01-03,Ambur,-
2010-01-03,Arakkonam,-
2010-01-03,Arcot,-
2010-01-03,Gudiyatham,-
2010-01-03,Melalathur,-
2010-01-03,Sholingur,-
2010-01-03,Tirupattur,-
2010-01-03,Vaniyambadi,-
2010-01-03,Vellore,-
2010-01-03,Wallajah,-
2010-01-04,Alangayam,-
2010-01-04,Ambur,-
2010-01-04,Arakkonam,-
2010-01-04,Arcot,-
2010-01-04,Gudiyatham,-
2010-01-04,Melalathur,-
2010-01-04,Sholingur,-
2010-01-04,Tirupattur,-
2010-01-04,Vaniyambadi,-
2010-01-04,Vellore,-
2010-01-04,Wallajah,-
2010-01-05,Alangayam,-
2010-01-05,Ambur,-
2010-01-05,Arakkonam,-
2010-01-05,Arcot,-
2010-01-05,Gudiyatham,-
2010-01-05,Melalathur,-
2010-01-05,Sholingur,-
2010-01-05,Tirupattur,-
2010-01-05,Vaniyambadi,-
2010-01-05,Vellore,-
2010-01-05,Wallajah,-
2010-01-06,Alangayam,-
2010-01-06,Ambur,-
2010-01-06,Arakkonam,-
2010-01-06,Arcot,-
2010-01-06,Gudiyatham,-
2010-01-06,Melalathur,-
2010-01-06,Sholingur,-
2010-01-06,Tirupattur,-
2010-01-06,Vaniyambadi,-
2010-01-06,Vellore,-
2010-01-06,Wallajah,-
2010-01-07,Alangayam,-
2010-01-07,Ambur,-
2010-01-07,Arakkonam,-
2010-01-07,Arcot,-
2010-01-07,Gudiyatham,-
2010-01-07,Melalathur,-
2010-01-07,Sholingur,-
2010-01-07,Tirupattur,-
2010-01-07,Vaniyambadi,-
2010-01-07,Vellore,-
2010-01-07,Wallajah,-
2010-01-08,Alangayam,-
2010-01-08,Ambur,-
2010-01-08,Arakkonam,-
2010-01-08,Arcot,-
2010-01-08,Gudiyatham,-
2010-01-08,Melalathur,-
2010-01-08,Sholingur,-
2010-01-08,Tirupattur,-
2010-01-08,Vaniyambadi,-
2010-01-08,Vellore,-
2010-01-08,Wallajah,-
2010-01-09,Alangayam,-
2010-01-09,Ambur,-
2010-01-09,Arakkonam,-
2010-01-09,Arcot,-
2010-01-09,Gudiyatham,-
2010-01-09,Melalathur,-
2010-01-09,Sholingur,-
2010-01-09,Tirupattur,-
2010-01-09,Vaniyambadi,-
2010-01-09,Vellore,-
2010-01-09,Wallajah,-
2010-01-10,Alangayam,-
2010-01-10,Ambur,-
2010-01-10,Arakkonam,-
2010-01-10,Arcot,-
2010-01-10,Gudiyatham,2.6
2010-01-10,Melalathur,2
2010-01-10,Sholingur,-
2010-01-10,Tirupattur,2
2010-01-10,Vaniyambadi,-
2010-01-10,Vellore,-
2010-01-10,Wallajah,-
2010-01-11,Alangayam,-
2010-01-11,Ambur,-
2010-01-11,Arakkonam,-
2010-01-11,Arcot,-
2010-01-11,Gudiyatham,11.4
2010-01-11,Melalathur,7.2
2010-01-11,Sholingur,-
2010-01-11,Tirupattur,1.5
2010-01-11,Vaniyambadi,-
2010-01-11,Vellore,44.8
2010-01-11,Wallajah,-
2010-01-12,Alangayam,-
2010-01-12,Ambur,-
2010-01-12,Arakkonam,-
2010-01-12,Arcot,-
2010-01-12,Gudiyatham,-
2010-01-12,Melalathur,-
2010-01-12,Sholingur,20
2010-01-12,Tirupattur,-
2010-01-12,Vaniyambadi,-
2010-01-12,Vellore,-
2010-01-12,Wallajah,-
2010-01-13,Alangayam,-
2010-01-13,Ambur,-
2010-01-13,Arakkonam,-
2010-01-13,Arcot,-
2010-01-13,Gudiyatham,-
2010-01-13,Melalathur,-
2010-01-13,Sholingur,-
2010-01-13,Tirupattur,-
2010-01-13,Vaniyambadi,-
2010-01-13,Vellore,-
2010-01-13,Wallajah,-
2010-01-14,Alangayam,-
2010-01-14,Ambur,-
2010-01-14,Arakkonam,-
2010-01-14,Arcot,-
2010-01-14,Gudiyatham,-
2010-01-14,Melalathur,-
2010-01-14,Sholingur,-
2010-01-14,Tirupattur,-
2010-01-14,Vaniyambadi,-
2010-01-14,Vellore,-
2010-01-14,Wallajah,-
2010-01-15,Alangayam,-
2010-01-15,Ambur,-
2010-01-15,Arakkonam,-
2010-01-15,Arcot,-
2010-01-15,Gudiyatham,-
2010-01-15,Melalathur,-
2010-01-15,Sholingur,-
2010-01-15,Tirupattur,-
2010-01-15,Vaniyambadi,-
2010-01-15,Vellore,-
2010-01-15,Wallajah,-
2010-01-16,Alangayam,-
2010-01-16,Ambur,-
2010-01-16,Arakkonam,-
2010-01-16,Arcot,-
2010-01-16,Gudiyatham,-
2010-01-16,Melalathur,-
2010-01-16,Sholingur,-
2010-01-16,Tirupattur,-
2010-01-16,Vaniyambadi,-
2010-01-16,Vellore,-
2010-01-16,Wallajah,-
2010-01-17,Alangayam,-
2010-01-17,Ambur,-
2010-01-17,Arakkonam,-
2010-01-17,Arcot,-
2010-01-17,Gudiyatham,-
2010-01-17,Melalathur,-
2010-01-17,Sholingur,-
2010-01-17,Tirupattur,-
2010-01-17,Vaniyambadi,-
2010-01-17,Vellore,-
2010-01-17,Wallajah,-
2010-01-18,Alangayam,-
2010-01-18,Ambur,-
2010-01-18,Arakkonam,-
2010-01-18,Arcot,-
2010-01-18,Gudiyatham,-
2010-01-18,Melalathur,-
2010-01-18,Sholingur,-
2010-01-18,Tirupattur,-
2010-01-18,Vaniyambadi,-
2010-01-18,Vellore,-
2010-01-18,Wallajah,-
2010-01-19,Alangayam,-
2010-01-19,Ambur,-
2010-01-19,Arakkonam,-
2010-01-19,Arcot,-
2010-01-19,Gudiyatham,-
2010-01-19,Melalathur,-
2010-01-19,Sholingur,-
2010-01-19,Tirupattur,-
2010-01-19,Vaniyambadi,-
2010-01-19,Vellore,-
2010-01-19,Wallajah,-
2010-01-20,Alangayam,-
2010-01-20,Ambur,-
2010-01-20,Arakkonam,-
2010-01-20,Arcot,-
2010-01-20,Gudiyatham,-
2010-01-20,Melalathur,-
2010-01-20,Sholingur,-
2010-01-20,Tirupattur,-
2010-01-20,Vaniyambadi,-
2010-01-20,Vellore,-
2010-01-20,Wallajah,-
2010-01-21,Alangayam,-
2010-01-21,Ambur,-
2010-01-21,Arakkonam,-
2010-01-21,Arcot,-
2010-01-21,Gudiyatham,-
2010-01-21,Melalathur,-
2010-01-21,Sholingur,-
2010-01-21,Tirupattur,-
2010-01-21,Vaniyambadi,-
2010-01-21,Vellore,-
2010-01-21,Wallajah,-
2010-01-22,Alangayam,-
2010-01-22,Ambur,-
2010-01-22,Arakkonam,-
2010-01-22,Arcot,-
2010-01-22,Gudiyatham,-
2010-01-22,Melalathur,-
2010-01-22,Sholingur,-
2010-01-22,Tirupattur,-
2010-01-22,Vaniyambadi,-
2010-01-22,Vellore,-
2010-01-22,Wallajah,-
2010-01-23,Alangayam,-
2010-01-23,Ambur,-
2010-01-23,Arakkonam,-
2010-01-23,Arcot,-
2010-01-23,Gudiyatham,-
2010-01-23,Melalathur,-
2010-01-23,Sholingur,-
2010-01-23,Tirupattur,-
2010-01-23,Vaniyambadi,-
2010-01-23,Vellore,-
2010-01-23,Wallajah,-
2010-01-24,Alangayam,-
2010-01-24,Ambur,-
2010-01-24,Arakkonam,-
2010-01-24,Arcot,-
2010-01-24,Gudiyatham,-
2010-01-24,Melalathur,-
2010-01-24,Sholingur,-
2010-01-24,Tirupattur,-
2010-01-24,Vaniyambadi,-
2010-01-24,Vellore,-
2010-01-24,Wallajah,-
2010-01-25,Alangayam,-
2010-01-25,Ambur,-
2010-01-25,Arakkonam,-
2010-01-25,Arcot,-
2010-01-25,Gudiyatham,-
2010-01-25,Melalathur,-
2010-01-25,Sholingur,-
2010-01-25,Tirupattur,-
2010-01-25,Vaniyambadi,-
2010-01-25,Vellore,-
2010-01-25,Wallajah,-
2010-01-26,Alangayam,-
2010-01-26,Ambur,-
2010-01-26,Arakkonam,-
2010-01-26,Arcot,-
2010-01-26,Gudiyatham,-
2010-01-26,Melalathur,-
2010-01-26,Sholingur,-
2010-01-26,Tirupattur,-
2010-01-26,Vaniyambadi,-
2010-01-26,Vellore,-
2010-01-26,Wallajah,-
2010-01-27,Alangayam,-
2010-01-27,Ambur,-
2010-01-27,Arakkonam,-
2010-01-27,Arcot,-
2010-01-27,Gudiyatham,-
2010-01-27,Melalathur,-
2010-01-27,Sholingur,-
2010-01-27,Tirupattur,-
2010-01-27,Vaniyambadi,-
2010-01-27,Vellore,-
2010-01-27,Wallajah,-
2010-01-28,Alangayam,-
2010-01-28,Ambur,-
2010-01-28,Arakkonam,-
2010-01-28,Arcot,-
2010-01-28,Gudiyatham,-
2010-01-28,Melalathur,-
2010-01-28,Sholingur,-
2010-01-28,Tirupattur,-
2010-01-28,Vaniyambadi,-
2010-01-28,Vellore,-
2010-01-28,Wallajah,-
2010-01-29,Alangayam,-
2010-01-29,Ambur,-
2010-01-29,Arakkonam,-
2010-01-29,Arcot,-
2010-01-29,Gudiyatham,-
2010-01-29,Melalathur,-
2010-01-29,Sholingur,-
2010-01-29,Tirupattur,-
2010-01-29,Vaniyambadi,-
2010-01-29,Vellore,-
2010-01-29,Wallajah,-
2010-01-30,Alangayam,-
2010-01-30,Ambur,-
2010-01-30,Arakkonam,-
2010-01-30,Arcot,-
2010-01-30,Gudiyatham,-
2010-01-30,Melalathur,-
2010-01-30,Sholingur,-
2010-01-30,Tirupattur,-
2010-01-30,Vaniyambadi,-
2010-01-30,Vellore,-
2010-01-30,Wallajah,-
2010-01-31,Alangayam,-
2010-01-31,Ambur,-
2010-01-31,Arakkonam,-
2010-01-31,Arcot,-
2010-01-31,Gudiyatham,-
2010-01-31,Melalathur,-
2010-01-31,Sholingur,-
2010-01-31,Tirupattur,-
2010-01-31,Vaniyambadi,-
2010-01-31,Vellore,-
2010-01-31,Wallajah,-
2010-02-01,Alangayam,-
2010-02-01,Ambur,-
2010-02-01,Arakkonam,-
2010-02-01,Arcot,-
2010-02-01,Gudiyatham,-
2010-02-01,Melalathur,-
2010-02-01,Sholingur,-
2010-02-01,Tirupattur,-
2010-02-01,Vaniyambadi,-
2010-02-01,Vellore,-
2010-02-01,Wallajah,-
2010-02-02,Alangayam,-
2010-02-02,Ambur,-
2010-02-02,Arakkonam,-
2010-02-02,Arcot,-
2010-02-02,Gudiyatham,-
2010-02-02,Melalathur,-
2010-02-02,Sholingur,-
2010-02-02,Tirupattur,-
2010-02-02,Vaniyambadi,-
2010-02-02,Vellore,-
2010-02-02,Wallajah,-
2010-02-03,Alangayam,-
2010-02-03,Ambur,-
2010-02-03,Arakkonam,-
2010-02-03,Arcot,-
2010-02-03,Gudiyatham,-
2010-02-03,Melalathur,-
2010-02-03,Sholingur,-
2010-02-03,Tirupattur,-
2010-02-03,Vaniyambadi,-
2010-02-03,Vellore,-
2010-02-03,Wallajah,-
2010-02-04,Alangayam,-
2010-02-04,Ambur,-
2010-02-04,Arakkonam,-
2010-02-04,Arcot,-
2010-02-04,Gudiyatham,-
2010-02-04,Melalathur,-
2010-02-04,Sholingur,-
2010-02-04,Tirupattur,-
2010-02-04,Vaniyambadi,-
2010-02-04,Vellore,-
2010-02-04,Wallajah,-
2010-02-05,Alangayam,-
2010-02-05,Ambur,-
2010-02-05,Arakkonam,-
2010-02-05,Arcot,-
2010-02-05,Gudiyatham,-
2010-02-05,Melalathur,-
2010-02-05,Sholingur,-
2010-02-05,Tirupattur,-
2010-02-05,Vaniyambadi,-
2010-02-05,Vellore,-
2010-02-05,Wallajah,-
2010-02-06,Alangayam,-
2010-02-06,Ambur,-
2010-02-06,Arakkonam,-
2010-02-06,Arcot,-
2010-02-06,Gudiyatham,-
2010-02-06,Melalathur,-
2010-02-06,Sholingur,-
2010-02-06,Tirupattur,-
2010-02-06,Vaniyambadi,-
2010-02-06,Vellore,-
2010-02-06,Wallajah,-
2010-02-07,Alangayam,-
2010-02-07,Ambur,-
2010-02-07,Arakkonam,-
2010-02-07,Arcot,-
2010-02-07,Gudiyatham,-
2010-02-07,Melalathur,-
2010-02-07,Sholingur,-
2010-02-07,Tirupattur,-
2010-02-07,Vaniyambadi,-
2010-02-07,Vellore,-
2010-02-07,Wallajah,-
2010-02-08,Alangayam,-
2010-02-08,Ambur,-
2010-02-08,Arakkonam,-
2010-02-08,Arcot,-
2010-02-08,Gudiyatham,-
2010-02-08,Melalathur,-
2010-02-08,Sholingur,-
2010-02-08,Tirupattur,-
2010-02-08,Vaniyambadi,-
2010-02-08,Vellore,-
2010-02-08,Wallajah,-
2010-02-09,Alangayam,-
2010-02-09,Ambur,-
2010-02-09,Arakkonam,-
2010-02-09,Arcot,-
2010-02-09,Gudiyatham,-
2010-02-09,Melalathur,-
2010-02-09,Sholingur,-
2010-02-09,Tirupattur,-
2010-02-09,Vaniyambadi,-
2010-02-09,Vellore,-
2010-02-09,Wallajah,-
2010-02-10,Alangayam,-
2010-02-10,Ambur,-
2010-02-10,Arakkonam,-
2010-02-10,Arcot,-
2010-02-10,Gudiyatham,-
2010-02-10,Melalathur,-
2010-02-10,Sholingur,-
2010-02-10,Tirupattur,-
